sa3_code16, new_houses_num, new_oth_resial_building_num, sa3_name16, tot_dwl_num, value_alterations_additions_conversions_resial_building_aud000, value_new_houses_aud000, value_new_oth_resial_building_aud000, value_non_resial_building_aud000, value_tot_building_aud000, value_tot_resial_building_aud000, feature_code, feature_name
20601,66,744,"Brunswick - Coburg",841,91495.6,33692.6,281544.9,166261.1,572994.3,406733.1,"20601","Brunswick - Coburg"
20602,74,240,"Darebin - South",317,47299,45239.7,81060.3,37273.8,210872.7,173598.9,"20602","Darebin - South"
20603,68,389,"Essendon",457,42061.7,56031.7,159599.8,141798.5,399491.7,257693.2,"20603","Essendon"
20604,12,4814,"Melbourne City",4830,77007.3,10187.3,1943193.8,4266393,6296781,2030388.2,"20604","Melbourne City"
20605,38,1131,"Port Phillip",1170,133226.8,35481,564670.1,331157.1,1064534.9,733377.8,"20605","Port Phillip"
20606,43,241,"Stonnington - West",287,109062.3,123349.4,184318.6,254300.8,671031.1,416730.4,"20606","Stonnington - West"
20607,48,1516,"Yarra",1570,133055.4,38561.1,538151.9,516993.4,1226761.8,709768.3,"20607","Yarra"
20701,306,952,"Boroondara",1267,193259.9,341827.9,460911.5,254710.1,1250709.4,995999.3,"20701","Boroondara"
20702,175,418,"Manningham - West",593,17135.7,123329,187683.1,118442.5,446590.4,328147.8,"20702","Manningham - West"
20703,199,1021,"Whitehorse - West",1222,39394.6,124939.9,359088.4,273536.7,796959.7,523423,"20703","Whitehorse - West"
20801,221,400,"Bayside",627,131465.5,239716.4,249919.9,55815.9,676917.7,621101.8,"20801","Bayside"
20802,239,685,"Glen Eira",925,95676.6,167515.5,314077.4,126308.1,703577.6,577269.5,"20802","Glen Eira"
20803,196,438,"Kingston",648,49654.4,97629.6,184639.9,228673,560597,331923.9,"20803","Kingston"
20804,58,185,"Stonnington - East",243,82024.5,72168.4,116024.1,127992.2,398209.3,270217.1,"20804","Stonnington - East"
20901,179,796,"Banyule",975,56170.8,90804.4,259881.2,106119.5,512975.8,406856.3,"20901","Banyule"
20902,111,676,"Darebin - North",800,37990,42152.6,177729.2,110116.8,367988.6,257871.8,"20902","Darebin - North"
20903,141,42,"Nillumbik - Kinglake",183,30800.8,71545.7,14725.6,42601.6,159673.6,117072,"20903","Nillumbik - Kinglake"
20904,2832,458,"Whittlesea - Wallan",3291,23682.2,835211.5,98281.6,334163.7,1291339,957175.3,"20904","Whittlesea - Wallan"
21001,119,278,"Keilor",397,14559.7,69197.2,97648.1,158690.4,340095.4,181405,"21001","Keilor"
21002,194,52,"Macedon Ranges",248,16975.9,83102.7,12349.2,23467.9,135895.7,112427.8,"21002","Macedon Ranges"
21003,124,449,"Moreland - North",574,15880.8,44287.2,113959.4,51003.7,225131.2,174127.5,"21003","Moreland - North"
21004,366,99,"Sunbury",465,7761.6,112137.6,20336.7,19547.5,159783.3,140235.8,"21004","Sunbury"
21005,2845,354,"Tullamarine - Broadmeadows",3202,16548.2,835523.1,87728.4,598249.5,1538049.2,939799.7,"21005","Tullamarine - Broadmeadows"
21101,279,385,"Knox",664,25157.4,110214.4,111878.6,128811.3,376061.6,247250.3,"21101","Knox"
21102,49,19,"Manningham - East",68,18712.6,42103.9,8268.7,17064.4,86149.5,69085.1,"21102","Manningham - East"
21103,192,677,"Maroondah",871,36839.1,84379.6,221467.4,175139.1,517825.1,342686,"21103","Maroondah"
21104,114,105,"Whitehorse - East",220,17671.8,58752,41548.6,23585.2,141557.5,117972.4,"21104","Whitehorse - East"
21105,390,152,"Yarra Ranges",546,53391.3,159621.2,40890.5,147536.1,401439.2,253903.1,"21105","Yarra Ranges"
21201,992,111,"Cardinia",1103,23740.2,312779.2,25234.7,274860.2,636614.3,361754.1,"21201","Cardinia"
21202,285,242,"Casey - North",528,19518.9,117418.7,63185.4,68013.1,268136.1,200123,"21202","Casey - North"
21203,2991,146,"Casey - South",3137,17845.8,860926.5,32334.5,226721.9,1137828.8,911106.8,"21203","Casey - South"
21204,244,655,"Dandenong",902,14420.9,95891.7,184886,304852.5,600051.1,295198.6,"21204","Dandenong"
21205,436,794,"Monash",1232,28280.8,259613.9,291630.4,991761.1,1571286.2,579525.2,"21205","Monash"
21301,234,475,"Brimbank",711,18077.2,72089.4,118785.1,273240.6,482192.3,208951.7,"21301","Brimbank"
21302,119,344,"Hobsons Bay",467,40672.1,64486.7,114114.5,287558.7,506832,219273.3,"21302","Hobsons Bay"
21303,183,1229,"Maribyrnong",1414,48450.8,59511.9,431118,202178.5,741259.2,539080.7,"21303","Maribyrnong"
21304,3947,152,"Melton - Bacchus Marsh",4100,19383.6,1145142.6,36065.4,422862.9,1623454.5,1200591.5,"21304","Melton - Bacchus Marsh"
21305,5207,216,"Wyndham",5423,18830.8,1545573.2,54631.3,946491.5,2565526.8,1619035.2,"21305","Wyndham"
21401,235,256,"Frankston",496,30258.8,79606.9,67477.2,171990.9,349333.7,177342.9,"21401","Frankston"
21402,710,299,"Mornington Peninsula",1015,166147.1,431660.7,94176.7,280161.6,972146.2,691984.6,"21402","Mornington Peninsula"
